,Rating,Review
712,4,Received a used model
713,3,Overall good
714,2,Damaged product
715,2,Wireless issues
716,2,Not Worth it
717,2,GAMING
718,1,Not sturdy just heavy
719,1,Warranty issue
720,1,Purhcased a 80K laptop to see it stopped working the next day
721,1,Heating issues
722,1,Horrible
723,1,Worst experience ever with a product
724,1,Horrible HP Customer care - BEAWARE
725,1,worst product
726,1,DO NOT BUY
727,5,Nice 😊
728,5,Good. Laptop with additional upgrade
729,4,You get what you pay for and this is worth it.
730,3,"Below average battery life, average performance but good audio and video experience."
731,3,Average performance
732,2,Very very slow
733,2,Disappointed
734,1,Speaker problem within the first 7 days of buying
735,1,Slow process and Quality issue.
736,1,Slow slow slow lenovo.
737,1,Laptop very slow.....
738,1,Not good
739,1,MS office absent.
740,1,Not up to the mark
741,1,Very slow
742,1,Very bad
743,5,Must-have product
744,5,"Sleek, simple and smooth but ....."
745,5,Touch screen and user friendly
746,5,Great Product
747,5,Absolute package
748,5,Nice product
749,5,Don’t miss just mind blowing
750,5,Gooood
751,5,Good
752,5,Affordable for students !
753,4,Great device with one serious flaw
754,4,Warranty and receipt missing
755,4,i would tell you it is a best laptop for students................
756,4,Awesome at that price
757,4,Good.
758,4,Good for Kids Education - Online class
759,4,Worth for given money
760,4,Warranty slip is missing
761,4,is a wonderful product
762,4,Decent one for school kids
763,3,Beginner's Review
764,3,My experience after 2 days of usage
765,3,Not worth for the asking price
766,3,Overpriced - Underpowered chromebook - Avoid
767,3,Ok for light use . Check warranty details
768,3,"Good for online surfing, binge watching and light use if Excel/Word"
769,3,toggling between applications is just super fast & overall weight is super light
770,3,Product quality is not as expected
771,3,Service
772,3,Feedback
773,2,Just a waste of money! :(
774,2,Bad screen. Poor Quality Control. Hardware Issues. Avoid this particular Chromebook model from HP.
775,2,Terrible feature specs for price
776,2,Don't buy.
777,2,Dont buy if you looking laptop for office use
778,2,very good product but touch screen issue found
779,2,Ms office has purchase
780,1,"Yellow screen, bad viewing angles!"
781,1,A compromised experience
782,1,Worthless piece in the name of a laptop
783,1,"Don’t buy , waste of money"
784,1,Poor performance and display quality is poor
785,1,Pls take this laptop return
786,1,Chromebook not a matured product yet
787,1,HP chrome laptop
788,1,Buy it for 24k or near!
789,1,Don't buy this
790,5,V.good
791,5,Awesome IdeaPad slim 3
792,5,Awesome Purchase
793,5,Go for it
794,5,Good working performance
795,5,Good Laptop with OS & OFFICE
796,5,Excellent product best for daily use
797,5,Additional 4gb ram is must
798,5,VERY GOOD PRODUCT
799,5,Must buy
800,4,I was expecting some basic performance.
801,4,For simple work it's good.
802,4,Amazing product
803,4,Good premium laptop
804,4,Lenovo laptop- A great laptop for basic home and work from home usage.
805,4,Nice product
806,4,Good
807,4,Levon laptop 🙂
808,4,Decent laptop at affordable price with Windows 10 & MS Office 2019
809,4,Nice laptop
810,3,No pre-installed MS Office as claimed in the product description
811,3,Incomplete info provided by Amazon on invoice & ms office 2019 trial version installed
812,3,Chinese Product- Still can be used for good configuration
813,3,Good laptop
814,3,Microsoft office not there
815,3,Except the processor all the other things are value for money ( should have given i3)
816,3,Very bad
817,3,Keyboard is malfunctioning
818,3,System is hanging in frequently
819,3,Lenovo Ideapad is slow but value for money
820,2,I faced auto turn on problem..
821,2,Good Purchase at this price for Noramal Office Used
822,2,Not impressed....
823,2,"Sound problem, I want my laptop replaced.."
824,2,Return policy
825,2,Very slow
826,2,slow speed lagging all the time
827,2,Very slow
828,2,Bag not received
829,2,Poor
830,1,wrong info
831,1,"DO NOT BUY, its totally waste of Money"
832,1,Worst laptop
833,1,Slow Machine
834,1,Stopped working in 10 days
835,1,slower than turtle
836,1,OFFICE IS NOT PROVIDED!!
837,1,Not up to the mark product.
838,1,Not so good
839,1,Worst product
840,5,The only high configuration laptop under this budget from HP
841,5,Fantastic ultrabook around 63K INR budget.
842,5,Excellent Machine
843,5,Genuine Product
844,5,Great great value for money
845,5,Excellent product
846,5,"Nice one, got all the expected functionality"
847,5,Best choice under this budget
848,5,Amazing Laptop from HP within 65k price budget
849,5,Good 11th Gen laptop with the right specs.
850,4,"At this budget, it’s surely a go-to-device! Powerful!"
851,4,High Performance packed in a sleek & thin body
852,4,Company is Telling 4.2 GHZ but Actual is 2.4 GHZ
853,4,Value for money
854,4,Need help in setting up ms office.
855,4,best laptop in this price range
856,4,Fast and Sturdy Laptop
857,4,Overall a good package to consider
858,4,HP Pavilion 2021 ( 14-dv0054TU ) Review
859,4,Value for money
860,3,Not a Great Product
861,3,Heats up but rest is fine
862,3,Heating issue is not acceptable for this range of laptop
863,3,Heating issues and very average battery life
864,3,Good
865,3,Review after using it a month
866,2,Delivered with Wrong specification or misguided with Wrong specification
867,2,Suitable for School kids
868,2,Battery life
869,2,No for professional works
870,2,waste
871,2,Not able to download warranty card
872,1,Wrong charger in the box.
873,1,Lap top was blast .. you can see the video attached below
874,1,Mr.
875,1,Disgusting behaviour by Amazon
876,1,Battery gone in 1 month...bad product
877,1,2 big breakdowns in 3 weeks
878,1,Very bad
879,1,Hangs frequently
880,1,Beware of the product
881,1,"Not good, as screen is small size and keyboard is not user friendly."
882,5,Initial experience is ...just fabulous
883,5,Best laptop for the budget of 26000 👌.
884,5,Best performance
885,5,BEST IN BUDGET
886,5,Worth for money
887,5,good product
888,5,Good
889,5,worth it
890,5,LOVED IT
891,5,Ok
892,4,The perfect combo of design & performance. Thanks to Amazon.
893,4,Good
894,4,Worth for money.
895,4,Pls i want my laptop invoice bill.
896,4,2 day review
897,4,Good
898,4,*****
899,4,Asus
900,4,The package was torn from the outside and there was paper dunnage inside the box.
901,3,Very good.
902,3,Just ok
903,2,Bad
904,1,Not worth it.
905,1,Very bad review I think I is good laptop of asus campany but is very bad
906,1,Terribly slow entry level dustbin
907,1,Not a reliable product. dont buy it.
908,1,Worst product worst customer service
909,1,very worst camera quality totally disappointed product
910,1,Worst product if you want to take risk than it's your decision
911,1,AMD Athlon ?
912,1,DONT BUY THIS LAPTOP!!!
913,1,Worst laptop ever sold in the internet.
914,5,Best 4600h laptop under 70k!
915,5,High performing laptop. Brightness is somewhat low at 250 nits.
916,5,Best budget lappy for gaming and productivity
917,5,Its my beauty and my beast ❤
918,5,"""Awesome Laptop😎😎"""
919,5,"If Multicore performance is what youre after, This is a beast. Leaves i7 11th gen in the dust."
920,5,Performance but at what cost?🤔
921,5,Great Laptop below 70k for casual gamers
922,5,Battery life time is not so good but I can say that it is a Good lappy..... Everything is good....💛
923,5,Performance beast! Best for gaming and multitasking
924,4,Mixed usage
925,4,Mid-tier beast
926,4,Value for money
927,4,Good mid range gaming laptop.
928,4,Best gaming laptop in this range
929,4,Nice buy!
930,4,Lenovo legion 5
931,4,Abhi says OK
932,4,Worth the money.
933,4,ACCESSORIES SHOULD BE PROVIDED
934,3,Warranty activation complaints
935,3,नाम बड़े दर्शन छोटे
